agent,ici_class,phenotype_family,openfda_total_agent_reports,agent_family_reports,all_database_family_reports,all_database_reports,reporting_odds_ratio,ror_ci_low,ror_ci_high,drug_query,reaction_query,interpretation_role,claim_boundary
atezolizumab,PD-L1,pneumonitis,31018,1405,72123,20328575,13.57,12.86,14.33,"(patient.drug.medicinalproduct.exact:""ATEZOLIZUMAB"" OR patient.drug.medicinalproduct.exact:""TECENTRIQ"")","(patient.reaction.reactionmeddrapt.exact:""INTERSTITIAL LUNG DISEASE"" OR patient.reaction.reactionmeddrapt.exact:""PNEUMONITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
atezolizumab,PD-L1,colitis,31018,1936,655379,20328575,2.002,1.912,2.096,"(patient.drug.medicinalproduct.exact:""ATEZOLIZUMAB"" OR patient.drug.medicinalproduct.exact:""TECENTRIQ"")","(patient.reaction.reactionmeddrapt.exact:""COLITIS"" OR patient.reaction.reactionmeddrapt.exact:""DIARRHOEA"" OR patient.reaction.reactionmeddrapt.exact:""ENTEROCOLITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
atezolizumab,PD-L1,hepatitis,31018,986,112185,20328575,5.963,5.595,6.355,"(patient.drug.medicinalproduct.exact:""ATEZOLIZUMAB"" OR patient.drug.medicinalproduct.exact:""TECENTRIQ"")","(patient.reaction.reactionmeddrapt.exact:""ALANINE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""ASPARTATE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""HEPATITIS"" OR patient.reaction.reactionmeddrapt.exact:""TRANSAMINASES INCREASED"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
atezolizumab,PD-L1,endocrine,31018,1638,57293,20328575,20.28,19.29,21.33,"(patient.drug.medicinalproduct.exact:""ATEZOLIZUMAB"" OR patient.drug.medicinalproduct.exact:""TECENTRIQ"")","(patient.reaction.reactionmeddrapt.exact:""ADRENAL INSUFFICIENCY"" OR patient.reaction.reactionmeddrapt.exact:""HYPERTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""HYPOPHYSITIS"" OR patient.reaction.reactionmeddrapt.exact:""HYPOTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""THYROIDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
atezolizumab,PD-L1,nephritis,31018,314,133893,20328575,1.546,1.383,1.728,"(patient.drug.medicinalproduct.exact:""ATEZOLIZUMAB"" OR patient.drug.medicinalproduct.exact:""TECENTRIQ"")","(patient.reaction.reactionmeddrapt.exact:""NEPHRITIS"" OR patient.reaction.reactionmeddrapt.exact:""RENAL FAILURE"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
atezolizumab,PD-L1,cardiac,31018,384,26440,20328575,9.765,8.824,10.81,"(patient.drug.medicinalproduct.exact:""ATEZOLIZUMAB"" OR patient.drug.medicinalproduct.exact:""TECENTRIQ"")","(patient.reaction.reactionmeddrapt.exact:""MYOCARDITIS"" OR patient.reaction.reactionmeddrapt.exact:""PERICARDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
atezolizumab,PD-L1,skin,31018,1174,725597,20328575,1.063,1.003,1.127,"(patient.drug.medicinalproduct.exact:""ATEZOLIZUMAB"" OR patient.drug.medicinalproduct.exact:""TECENTRIQ"")","(patient.reaction.reactionmeddrapt.exact:""DERMATITIS"" OR patient.reaction.reactionmeddrapt.exact:""PRURITUS"" OR patient.reaction.reactionmeddrapt.exact:""RASH"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
atezolizumab,PD-L1,neuromuscular,31018,380,20425,20328575,12.56,11.34,13.91,"(patient.drug.medicinalproduct.exact:""ATEZOLIZUMAB"" OR patient.drug.medicinalproduct.exact:""TECENTRIQ"")","(patient.reaction.reactionmeddrapt.exact:""GUILLAIN-BARRE SYNDROME"" OR patient.reaction.reactionmeddrapt.exact:""MYASTHENIA GRAVIS"" OR patient.reaction.reactionmeddrapt.exact:""MYOSITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
avelumab,PD-L1,pneumonitis,3952,173,72123,20328575,12.92,11.1,15.05,"(patient.drug.medicinalproduct.exact:""AVELUMAB"" OR patient.drug.medicinalproduct.exact:""BAVENCIO"")","(patient.reaction.reactionmeddrapt.exact:""INTERSTITIAL LUNG DISEASE"" OR patient.reaction.reactionmeddrapt.exact:""PNEUMONITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
avelumab,PD-L1,colitis,3952,235,655379,20328575,1.902,1.667,2.17,"(patient.drug.medicinalproduct.exact:""AVELUMAB"" OR patient.drug.medicinalproduct.exact:""BAVENCIO"")","(patient.reaction.reactionmeddrapt.exact:""COLITIS"" OR patient.reaction.reactionmeddrapt.exact:""DIARRHOEA"" OR patient.reaction.reactionmeddrapt.exact:""ENTEROCOLITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
